row_id,tokens,relation,head_pos,tail_pos
1198,"In late 2005 , Nintendo of America released the first series of "" Nintendogs "" "" 6-Card Fun Paks "" .",publisher,13,4 5 6
2580,"This year , the song used for an eliminated contestant 's flashback tribute was "" Bad Day "" by Daniel Powter .",performer,15 16,19 20
1808,"One of her other TV roles was as the Vulcan matriarch T'Pau in the "" "" episode "" Amok Time "" ( 1967 ) who officiates the wedding of Mister Spock .",characters,18 19,29 30
1592,""" Chinnamul "" ( The Uprooted ) a 1950 Bengali film directed by Nemai Ghosh , first dealt with the theme of partition of Bengal .",director,1,13 14
134,"In September 2010 Ubisoft and Outerlight announced "" Bloody Good Time "" .",publisher,8 9 10,3
2209,"Its name was used for the 1987 album "" Boylan Heights "" by The Connells .",performer,9 10,13 14
2095,"Gallaher wrote 2 issues of Green Lantern Corps for DC Comics during the "" Convergence "" storyline .",publisher,5 6 7,9 10
2520,"Radiohead recorded "" A Moon Shaped Pool "" in southern France with longtime producer Nigel Godrich .",performer,3 4 5 6,0
1688,"Dr. Frederick Chilton is a fictional character appearing in Thomas Harris ' novels "" Red Dragon "" and "" The Silence of the Lambs "" .",characters,19 20 21 22 23,1 2
1900,"Castle played the role of Octavius Caesar in Charlton Heston 's poorly reviewed version of "" Antony and Cleopatra "" ( 1972 ) , a film that received no US release at all .",characters,16 17 18,5 6
1811,"As of 2009 , Elliott has played the estranged father of "" How I Met Your Mother "" character Lily Aldrin , whose relationship has strengthened as the show has progressed .",characters,12 13 14 15 16,19 20
2545,"The team 's previous experiences range from working with Valve on "" The Orange Box "" to Ubisoft with "" Far Cry 3 "" .",publisher,12 13 14,9
1953,""" Shattered Visage "" is a four - issue comic book mini - series based on "" The Prisoner "" published by DC Comics .",publisher,1 2,22 23
1498,"In 2005 , he starred as in "" La Doublure "" ( English title "" The Valet "" ) , by Francis Veber .",director,8 9,21 22
1680,"The first event was a riffing of the film "" Time Chasers "" on May 5 , 2016 and used a high definition remaster of the film provided by its director , David Giancola .",director,10 11,32 33
974,"He then worked on Editors ( "" The Back Room "" ) , The Noisettes ( "" Wild Young Hearts "" ) and The Temper Trap ( "" Conditions "" ) .",performer,7 8 9,4
2051,"Nonetheless , she played key roles as Miss Agatha Hannigan in "" Annie "" , the Mother Wolf in "" The Jungle Book "" , and Lena Marelli in "" Bugsy Malone "" .",characters,20 21 22,16 17
2554,""" Max 500 "" is a CD ( single ) by the band Kent .",performer,1 2,13
2793,"She portrayed Jill Pole in BBC 's TV adaptation of the book "" The Silver Chair "" by C.S.",characters,13 14 15,2 3
1743,"In 2014 Shiro Games announced that they were working on a sequel to "" Evoland "" entitled "" Evoland 2 : A Slight Case of Spacetime Continuum Disorder "" .",publisher,18 19 20 21 22 23 24 25 26 27,2 3
1657,"Stitch ( Experiment 626 ) is one of the two title characters of the "" Lilo & Stitch "" franchise .",characters,15 16 17,2 3
325,Shadow of the Colossus is an action - adventure game developed by Bluepoint Games and published by Sony Interactive Entertainment for the PlayStation 4 .,publisher,0 1 2 3,17 18 19
2164,""" I Wanna Dance with You "" is a song co - written and recorded by American country music artist Eddie Rabbitt .",performer,1 2 3 4 5,20 21
975,"Beyond the fortress and across a rough , uncharted landscape lies the Vale of Tears , where Alice 's friends Bill McGill and the Mock Turtle reside , along with the Duchess .",characters,17,24 25
135,""" Monster Manual III "" ( Wizards of the Coast , 2004 ) The hooded pupil ettin appeared in "" Libris Mortis "" ( 2004).Collins , Andy , and Bruce R. Cordell . "" """,publisher,1 2 3,6 7 8 9
1368,"In 2003 , Sierra Entertainment announced that the "" Leisure Suit Larry "" franchise was being revived with an eighth game , called "" Leisure Suit Larry : Magna Cum Laude "" .",publisher,24 25 26 27 28 29 30,3 4
339,"The series was published in the Shogakukan magazine "" CoroCoro Comic "" from 1985 to 1995 .",publisher,9 10,6
1899,"Mai 2010 In 2002 director Hans - Christian Schmid saw her in a club and cast her in a small role in the film "" Distant Lights "" .",director,25 26,5 6 7 8
1166,"In September 2015 , it was announced that Alex Kingston would reprise the role of recurring character River Song for the first time since the 2013 episode "" The Name of the Doctor "" .",characters,28 29 30 31 32,17 18
1977,"The book was adapted for the film "" The Man Who Watched Trains Go By "" ( 1952 ) starring Claude Rains and Marta Toren and directed by Harold French .",director,8 9 10 11 12 13 14,28 29
576,"His film Shooting at the Moon , co - directed with Stuckist and Remodernist photographer and filmmaker Jesse Richards is one of the first works of Remodernist film .",director,2 3 4 5,17 18
1815,"In July 2002 , the company gained recognition with the launch of the Bruce Springsteen and the E Street Band 's "" The Rising "" .",performer,22 23,17 18 19
780,"In this way , "" Crossroads "" joins films like "" Blood on Wolf Mountain "" by Fei Mu and "" The Big Road "" by Sun Yu .",director,21 22 23,26 27
1091,"Balaban 's other films in 2009 include "" Not Since You "" , a drama about a group of college friends , and "" The Trotsky "" , by Jacob Tierney .",director,24 25,29 30
2560,"He is also the Fire Warlord in the Digital Pictures full - motion video action game "" Supreme Warrior "" .",publisher,17 18,8 9
2552,"The journal is published quarterly by INFORMS ( Institute for Operations Research and the Management Sciences ) , which also publishes other journals including "" Operations Research "" and "" Management Science "" .",publisher,10 11,6
1204,"The book was made into a film , directed by Irvin Kershner , and released in 1964 .",director,0 1 2 3 4 5 6,10 11
2640,"The report is available online and , along with collateral material including a foreword , introduction and afterword , was published in 1972 by Basic Books as "" The Mind of Adolf Hitler "" .",publisher,28 29 30 31 32,24 25
1280,"There is also another version of the song entitled ' Bright Lights Part II ' that is featured on Pixie Lott 's second studio album , "" Young Foolish Happy "" .",performer,27 28 29,19 20
1199,"Her first contact with comics was through collecting Marvel Comics ' "" Tomb of Dracula "" , "" The Sub - Mariner "" and "" Conan the Barbarian "" .",publisher,25 26 27,8 9
1157,"It was during this short stint in advertising that Gupta saw Ram Gopal Varma ’s film "" Company "" based on the Mumbai underworld .",director,17,11 12 13
160,"Ronstadt 's cover of Elvis Costello 's "" Alison "" has been criticized by Costello himself after he heard her version of the song , although he did admit he "" liked the money . """,performer,8,4 5
1625,"It was directed by Pete Michels , who would also direct the episode "" The Former Life of Brian "" later this season .",director,14 15 16 17 18,4 5
980,"The English dub , "" Inuyasha : The Final Act "" , began broadcasting in the United States and Canada on Viz Media 's online network , Neon Alley , on October 2 , 2012 .",publisher,5,21 22
2240,"Randam Bhavam ( Malayalam : രണ്ടാം ഭാവം , English : "" The Second Persona "" ) is a 2001 Malayalam film directed by Lal Jose , written by Ranjan Pramod .",director,0 1,23 24
842,""" Back in My Arms Again "" is a 1965 song recorded by The Supremes for the Motown label .",performer,1 2 3 4 5,13 14
1557,""" Sálvame "" ( English : "" Save Me "" ) is the third single released by the Mexican pop group RBD from their debut album , "" Rebelde "" ( 2004 ) .",performer,28,21
960,""" The Dark Knight "" garnered numerous awards and nominations with particular praise for Heath Ledger 's performance of the Joker .",characters,1 2 3,20
2511,Supercell launched three very popular free - to - play games : Hay Day and Clash of Clans in 2012 and Boom Beach in 2014 .,publisher,12 13,0
2091,"Joanna Francesa is a 1973 French - Brazilian romantic drama film directed by Carlos Diegues and starring Jeanne Moreau , Eliezer Gomes and Carlos Kroeber .",director,0 1,13 14
2610,"She returned to the screen and played supporting roles in two Olivier Assayas films , Fin août , début septembre and Les Destinées sentimentales .",director,15 16 17 18 19,11 12
1163,""" Piano , Solo "" ( 2007 ) is a biographical movie by Riccardo Milani based upon the life of Luca Flores , an Italian jazz piano player .",director,1 2 3,13 14
1342,"Her greatest success in Berlin was the top - selling 1986 single "" Take My Breath Away "" , the theme song for the film "" Top Gun "" .",performer,13 14 15 16,4
605,"He played Chou En - Lai in "" Nixon in China "" by John Adams .",characters,8 9 10,2 3 4 5
1758,He is best known for playing Ron Weasley in Harry Potter and the Cursed Child in London ’s West End .,characters,9 10 11 12 13 14,6 7
1509,"Sherlock Holmes also mentions "" Basil "" as one of his aliases in the Arthur Conan Doyle story "" The Adventure of Black Peter "" .",characters,19 20 21 22 23,0 1
521,"The first appearance of Shapoklyak ( in the movie ) was in the animated film "" Gena the Crocodile "" ( 1969 ) by Roman Kachanov ( Soyuzmultfilm studio ) .",director,16 17 18,24 25
1765,"Charles Vidor , who had previously directed "" A Song to Remember "" ( 1945 ) , a biopic of Frédéric Chopin , was assigned to direct using elements of all three screenwriters ' scripts .",director,8 9 10 11,0 1
2577,"In 2005 , FASA Corp granted RedBrick Limited a license for "" Earthdawn "" based on a very professional proposal they submitted .",publisher,12,6 7
702,"Part of the "" European Physical Journal "" series , it is jointly published by EDP Sciences , the Società Italiana di Fisica , and Springer Science+Business Media .",publisher,4 5 6,15 16
1651,"In 2012 , his sleeve for the 1984 Marillion album "" Fugazi "" was chosen by Gigwise as the 29th greatest album artwork of all time .",performer,11,8
530,""" Farewell , My Lovely "" never steps wrong ... in the genre itself there has n't been anything this good since Hollywood was doing Philip Marlowe the first time around .",characters,1 2 3 4,25 26
231,""" No Deeper Meaning "" is a song written by Jay Supreme and Nosie Katzmann , and recorded by the German eurodance band Culture Beat .",performer,1 2 3,23 24
2514,""" Comparative Literature Studies "" is currently published by the Penn State University Press and is distributed by the Johns Hopkins University Press .",publisher,1 2 3,10 11 12 13
183,"Following the release of "" Sunshine State of Mind "" ( 2011 ) , bassist Drew Thomsen left We the Kings , citing exhaustion from touring .",performer,5 6 7 8,18 19 20
1909,"Banks reprised his role as Mike Ehrmantraut as a regular in the "" Breaking Bad "" spinoff series "" Better Call Saul "" , for which he earned his third Emmy nomination in season 1 .",characters,13 14,5 6
1816,"Lauren Montgomery returned from "" Wonder Woman "" to direct "" Green Lantern : First Flight "" .",director,11 12 13 14 15,0 1
149,"The pair released four songs to the public including a cover of the previously unreleased Son of Dork song "" Go Home Monday "" .",performer,20 21 22,15 16 17
1384,"She starred in Monte Hellman 's romance thriller "" Road to Nowhere "" in 2010 .",director,9 10 11,3 4
2344,"In 2017 , Smagula will play John Woodburn in the film "" Rebel in the Rye "" , written and directed by Danny Strong and starring Kevin Spacey and Nicholas Hoult .",director,12 13 14 15,22 23
115,"A later role - playing game titled "" A Song of Ice and Fire Roleplaying "" was published by Green Ronin Publishing in 2009 .",publisher,8 9 10 11 12 13 14,19 20 21
585,"He also worked on Activision games like "" Gun "" , "" "" and "" The Amazing Spider - Man "" .",publisher,8,4
2507,"Fans of "" Star Trek "" will recognize "" Roses from the South "" as the waltz Trelane has Uhura play in "" The Squire of Gothos "" .",characters,23 24 25 26,19
2650,"She featured in Dangerous Twins , a 2004 Nigerian drama film produced by Tade Ogidan , written and directed by Niji Akanni .",director,3 4,13 14
776,"The festival opened with "" La Cité des enfants perdus "" , directed by Jean - Pierre Jeunet and closed with "" The Quick and the Dead "" , directed by Sam Raimi .",director,22 23 24 25 26,31 32
2639,"In 1940 Soerip made her feature film debut in "" Zoebaida "" , directed by Njoo Cheong Seng for Oriental Film .",director,10,15 16 17
5,"However , NCSoft has rebooted the game as Project TL in NCSOFT Director Cut private event .",publisher,8 9,2
2674,"In Arthur Miller 's 1953 play "" The Crucible "" , a fictional portrayal of Hale appears in Act I in a request from Samuel Parris that he examine his daughter , Betty Parris .",characters,7 8,24 25
2523,"In 1923 , the silent British film "" The School for Scandal "" was made by Bertram Phillips .",director,8 9 10 11,16 17
421,The Duel : Test Drive II is a racing game developed by Distinctive Software and published by Accolade in 1989 .,publisher,3 4,17
1241,"He played the Prince in Rodgers and Hammerstein 's "" Cinderella "" , Munkustrap in "" Cats "" , and Frank N Furter in "" The Rocky Horror Show "" in the West End .",characters,16,13
1775,""" Aliso "" , first published in 1948 , is the scientific journal of the Rancho Santa Ana Botanic Garden .",publisher,1,15 16 17 18 19
2761,"It has also been published by Sphere Books in the omnibus paperback collection "" The Conan Chronicles "" ( 1989 ) .",publisher,14 15 16,6 7
90,"It was supposedly founded by the goddess Macha in the 7th or 5th century BC , and was the seat of Conchobar mac Nessa in the tales of the Ulster Cycle .",characters,29 30,21 22 23
3,"The novelist leaves Célestine without a surname , just like Clara in "" The Torture Garden "" ( "" Le Jardin des supplices "" , 1899 ) .",characters,13 14 15,10
500,"Tokyopop also released a collection of Karin short stories under the title : "" Chibi Vampire : Airmail "" on August 31 , 2010 .",publisher,6,0
1628,"It was around this time that he took the role of Robert de Rainault , the Sheriff of Nottingham , in ITV 's "" Robin of Sherwood "" ( 1983 - 86 ) .",characters,24 25 26,16 17 18
2715,""" I 'm Not There "" was released on the soundtrack album accompanying the biographical film about Dylan , directed by Todd Haynes , named after the song .",director,14 15 16 17,21 22
2621,Cold Souls is a 2009 comedy - drama film written and directed by Sophie Barthes .,director,0 1,13 14
564,"Both "" Shadowgrounds "" and its follow - up "" "" were released for Linux in 2009 , ported by IGIOS and published by Linux Game Publishing .",publisher,2,24 25 26
1372,"Apurba 's debut film is "" Gangster Returns "" released on 27 November 2015 , directed by Ashiqur Rahman .",director,6 7,17 18
1184,Dead Space 3 is a science fiction survival horror video game developed by Visceral Games and published by Electronic Arts .,publisher,0 1,18 19
1037,"GameDaily listed Goomba as the fourth best "" Mario "" enemy , stating that every gamer has run into one as Mario before .",characters,7 8 9,2
1308,"In the "" Táin Bó Cúailnge "" , Macha and The Morrígan similarly appear as larger - than - life figures , yet never described as goddesses .",characters,3 4 5,10 11
593,"It samples "" It Takes Two "" by Rob Base and DJ E - Z Rock , which in turn samples the Lyn Collins 1972 song "" Think ( About It ) "" .",performer,27 28 29 30 31,22 23
1229,"Rounding out Sherman ’s productions are "" Oranges And Sunshine "" starring Emily Watson and Venice Golden Lion nominated "" Tracks "" directed by John Curran .",director,20,24 25
274,"He wrote the 2000 film "" Astitva "" with Mahesh Manjrekar .",director,6,9 10
1754,"Three years later , he published his first paper , "" Quantum - Mechanical Correlation Theory of Electromagnetic Fields , "" in "" Nuovo Cimento "" , the journal of the Italian Physical Society .",publisher,23 24,31 32 33
1416,"The film opened to good reviews , some critics calling it the best movie Ted Kotcheff made behind "" Fun with Dick and Jane "" and "" The Apprenticeship of Duddy Kravitz "" .",director,19 20 21 22 23,14 15
201,"Spirou & Fantasio : Adventure Down Under ( Aventure en Australie ) , 2009 , 39 .",characters,8 9 10,2
2707,"Desplat started 2012 with "" Extremely Loud and Incredibly Close "" , the Florent Emilio Siri - directed biopic "" Cloclo "" , and DreamWorks Animation 's "" Rise of the Guardians "" .",director,20,13 14 15
1041,"The song was covered by The Kentucky Headhunters on their 1989 debut album "" Pickin ' on Nashville "" .",performer,14 15 16 17,5 6 7
1543,"Subsequently , show creator Peter Berg cast Head in his film "" Hancock "" alongside Will Smith , Charlize Theron , and Jason Bateman .",director,12,4 5
2489,"Among his film and video works is the 2003 feature film , "" The Adventure of Iron Pussy "" , which he co - directed with Apichatpong Weerasethakul .",director,13 14 15 16 17,26 27
599,"with "" Hello From Mars "" and preceding Estonia 's Ruffus with "" Eighties Coming Back "" .",performer,13 14 15,10
2162,"She also provided Snowy 's typical dog sounds in the television series "" The Adventures of Tintin "" .",characters,13 14 15 16,3
452,"Director , Kundan Shah had previously directed comedy classic "" Jaane Bhi Do Yaaro "" ( 1983 ) and his 1985 - 1986 , TV series "" Nukkad "" with Saeed Akhtar Mirza .",director,10 11 12 13,2 3
370,""" Friend of the Night "" is a song by Glaswegian post - rock band , Mogwai from their 2006 album , "" Mr.",performer,1 2 3 4,16
2366,Phil Cerreta ( played by Paul Sorvino ) replaced season 1 's Max Greevey ( George Dzundza ) in the role of senior detective .,performer,12 13,15 16
1347,""" Microscopy and Microanalysis "" ( Cambridge University Press ) 12(Suppl 2 ) : 796 - 797 .",publisher,1 2 3,6 7 8
1160,"W. Fowler ] ] , "" [ [ A Dictionary of Modern English Usage ] ] "" ( Oxford : Oxford University Press , 1937 ) .",publisher,8 9 10 11 12 13,20 21 22
646,"After Carola finished third in 1983 , the Herreys gave Sweden its second victory in 1984 with "" Diggi - Loo Diggi - Ley "" .",performer,18 19 20 21 22 23,8
2157,""" Supernatural Love "" is the second single from Donna Summer 's 1984 "" Cats Without Claws "" album .",performer,14 15 16,9 10
1270,"To promote the EP , Girls ' Generation appeared on several South Korean music programs , the first being Mnet 's "" M Countdown "" , where they performed "" Mr . Mr . """,performer,30 31 32 33,5 6 7
2322,"It heavily samples and features lyrics from The Jets ' song "" Crush on You "" .",performer,12 13 14,7 8
499,"X Japan released their first album "" Vanishing Vision "" on the indie label Extasy Records in 1988 ; their album "" Blue Blood "" was released on CBS Sony in 1989 .",performer,7 8,0 1
913,"This character is unnamed in either the film or the credits , although he looks and sounds like Ernst Stavro Blofeld as played by Donald Pleasence or Telly Savalas .",performer,18 19 20,24 25
2291,"Florance played Mavis Lipton in Tim Burstall 's thriller "" End Play "" ( 1976 ) .",director,10 11,5 6
2534,"The character 's relationship with Gimli is shown to have moved from brief hostility as seen in "" The Fellowship of the Ring "" to respect and friendship in "" "" .",characters,18 19 20 21 22,5
2287,"In October 2015 , director Len Wiseman ( "" Live Free or Die Hard "" ) posted a single image reading ' DIE HARD : Year One ' on his Twitter account .",director,9 10 11 12 13,5 6
1824,"The game is a redesign of "" Crystal Mines "" ( 1989 ) , a title developed by Ken Beckett for Wisdom Tree 's predecessor , Color Dreams .",publisher,7 8,26 27
239,""" Production and Operations Management "" is published by Wiley - Blackwell on behalf of the Production and Operations Management Society .",publisher,1 2 3 4,9 10 11
1481,"Jesse Stone : Death in Paradise is a 2006 American television crime film directed by Robert Harmon and starring Tom Selleck , Viola Davis , and Kohl Sudduth .",characters,3 4 5,0 1
124,"The song was released via Sony Music and Ultra Music on 20 October 2017 , as the lead single and title track from Kygo 's second studio album of the same name .",performer,28 29 30 31,23
1570,"The Golden Bear was awarded to the Hungarian film "" On Body and Soul "" directed by Ildikó Enyedi , which also served as closing film of the festival .",director,10 11 12 13,17 18
1714,"Unlike the other characters in "" The Matrix "" , Smith almost always refers to Neo as "" Mr.",characters,6 7,15
2337,"The first edition of "" GURPS Bio - Tech "" was written by David Pulver , and published by Steve Jackson Games as a 144-page book .",publisher,5 6 7 8,19 20 21
213,"She was an Associate Editor of the journal "" Mammalian Species "" , published by the American Society of Mammalogists from 1995 until her death .",publisher,9 10,16 17 18 19
83,"Rocksteady and Bebop were featured in the following "" TMNT Adventures "" series , with similar origins and dimwittedness .",characters,9 10,0 1 2
2368,""" A Puro Dolor "" , performed by Son by Four , became the best - performing Latin single from the 2000s in the United States .",performer,1 2 3,8 9 10
2576,"Beginning with "" Cameo Kirby "" ( 1923 ) he was credited as "" John Ford "" .",director,3 4,14 15
2335,"He made his debut in 2017 by portraying the leading role of Vincent Pepe in "" Angamaly Diaries "" , directed by Lijo Jose Pellissery . Palliyangadi 's own Pepe .",director,16 17,22 23 24
553,"Amanita Pestilens is a 1963 Canadian - American psychological horror - fantasy / drama film produced by F. R. Crawley , and directed by René Bonnière .",director,0 1,24 25
1415,Unferth ’s taunt spurs Beowulf into action and reignites Hrothgar ’s and the people ’s faith in him .,characters,4,9
70,"In "" Tochmarc Emire "" the Ulaid hero Cú Chulainn has come to train in arms under Scáthach when a battle breaks against Aífe .",characters,2 3,17
1713,Blathnat makes an appearance in the Fled Bricrenn ( Feast of Bricriu ) as the wife of the absent Cú Roí .,characters,6 7,19 20
1547,"In 2015 , she appeared as a featured artist on Baby K 's "" Roma - Bangkok "" , which became the best - selling single of the year .",performer,14 15 16,10 11
40,"It is the second game in the genre to be released by Hudson Soft for WiiWare ( after "" Onslaught "" ) .",publisher,19,12 13
507,"He also played on Al Stewart 's album "" Love Chronicles "" , released in September 1969 .",performer,9 10,4 5
547,Nancy Cartwright and Yeardley Smith performed the voices of Bart Simpson and Lisa Simpson respectively .,performer,12 13,3 4
1768,"As Jugoton , the record label which released Griva 's previous album did not want to release the album , the band released the album through the independent label Panonija koncert .",performer,10 11,8
2149,"Fritz Lang directed the 1952 black - and - white film noir / drama , "" Clash by Night "" , starring Barbara Stanwyck , Paul Douglas , Marilyn Monroe and Robert Ryan .",director,16 17 18,0 1
916,"Bruce Springsteen 's 1982 song "" Nebraska "" is a first - person narrative based on the Starkweather events ; likewise "" Badlands "" is full of themes regarding alienation and resentment by the protagonist .",performer,5 6 7,0 1
1463,"To promote "" Without Sorcery "" , Prime Press published the story "" It "" in advance of the full collection .",publisher,3 4,7 8
74,"The video seems to reference movies such as "" The Silence of the Lambs "" with Eminem being restrained in a similar trolley and muzzle to that of Hannibal Lecter 's .",characters,9 10 11 12 13,28 29
1505,"Released in France in December 2008 , "" Sunny and the Elephant "" is Frédéric Lepage ’s first feature film .",director,8 9 10 11,14 15
2096,The Manitou is a 1978 American horror film produced and directed by William Girdler .,director,1,12 13
1717,"PlayFirst ’s biggest commercial success is one of its earliest released games , "" Diner Dash "" series , which was released for the first time on PC / Mac platforms in 2005 .",publisher,13 14 15 16 17,0
273,101 Dalmatians Print Studio is a part of the Disney 's Print Studio series of games released by Disney Interactive .,publisher,0 1 2 3,18 19
1661,"Abhishek Films , which produced the film "" Ninaithathu Yaaro "" by director Vikraman , would be producing the film .",director,8 9,13
1715,"He also edited the journal "" Matematicheskii Sbornik "" of the Moscow Mathematical Society .. Reprinted in .",publisher,6 7,11 12 13
1418,"Also in 2010 , she guest starred in "" The Eleventh Hour "" episode of "" Doctor Who "" , Matt Smith 's debut as the Eleventh Doctor .",performer,16 17,20 21
2136,"This song and "" Bleu Noir "" by Mylène Farmer both use a similar backing track ( the latter song was also produced by Moby ) .",performer,4 5,8 9
195,""" Crack the Shutters "" is a song from alternative rock band Snow Patrol 's fifth album "" A Hundred Million Suns "" .",performer,1 2 3,12 13
2540,"In the American animated sitcom "" The Simpsons "" , Bart Simpson frequently calls Moe 's Tavern asking for nonexistent patrons with gag names , prompting bartender Moe Szyslak to call out for the person .",characters,6 7,27 28
386,""" Emotional "" is a 1986 song by Austrian pop musician Falco from his album "" Emotional "" .",performer,1,11
1376,"Artists to have multiple number one hits during the year were Rihanna with three , ( one of those as a featured artist credit in "" Live Your Life "" ) , and T.I.",performer,26 27 28,11
1132,"Actress Kristin Bauer van Straten was cast at the last minute and guest starred as the sorceress Maleficent , a character from Disney 's 1959 animated film "" Sleeping Beauty "" .",characters,28 29,17
272,"Gorillaz released a single with James Murphy and André 3000 commissioned by Converse , titled "" DoYaThing "" on 23 February 2012 .",performer,16,8 9
671,"live production of Ian Fleming 's "" Casino Royale "" , in which Pate played the role of "" Clarence Leiter "" , opposite Barry Nelson 's "" Jimmy Bond "" .",characters,7 8,19 20
2293,Bumper Crop is a collection of short stories by Joe R. Lansdale published in 2004 by Golden Gryphon Press .,publisher,0 1,16 17 18
1932,"Kendrick Frazier became the editor of CSICOP 's journal and the name was changed to "" Skeptical Inquirer "" .",publisher,16 17,6
2363,"In 1948 , he started composing for Prathiba Pictures which belongs to Ghantasala Balaramayya beginning with "" Balaraju "" , "" Swapna Sundari "" and "" Sri Lakshamma Katha "" .",director,17,12 13
481,"The song entered the "" Billboard "" Hot Latin Songs at number 50 and the Latin Tropical Songs at number 39 .",publisher,7 8 9,5
2409,"AeroWings 2 : Airstrike , known in Japan as , is a combat flight simulator developed by CRI and Crave Entertainment and published by Sega for the Dreamcast console .",publisher,0,19 20
1706,"Fox then cast him as Philip Marlowe in "" The Brasher Doubloon "" ( 1947 ) , a B picture version of the novel "" The High Window "" by Raymond Chandler .",characters,25 26 27,5 6
2131,"Hart has remixed other artists ' singles , including "" Tonight I Have to Leave It "" by Shout Out Louds and "" The First Five Times "" by Stars .",performer,23 24 25 26,29
96,""" Defendor "" is actor Peter Stebbings ' first produced screenplay and his debut as a director .",director,1,5 6
1725,"The concert also featured Rihanna 's older hits , such as "" Stay "" , "" We Found Love "" and "" Diamonds "" .",performer,12,4
20,"Two days later , “ Jazzy Sensation ” was written and recorded by the "" Jazzy Five "" as the first Hip hop music / rap single on Tommy Boy Records .",performer,5 6,15 16
1324,"In August 2006 , Lil Jon 's label TVT Records released the second volume of its "" Crunk Hits "" rap compilation , and "" Snap Yo Fingers "" was the opening track .",performer,25 26 27,4 5
1930,"Mera Saaya (; ; translation : "" My Shadow "" ) is a 1966 Indian Hindi film directed by Raj Khosla .",director,0 1,19 20
832,MacDonogh criticised the 2004 German film Downfall for sympathetic portrayals of Wilhelm Mohnke and Ernst - Günther Schenck .,characters,6,11 12
673,"Mezco Toyz has also released a screen grab statuette of Alice , which depicts the hallucination of Jason attacking her from the ending of "" Friday the 13th "" .",characters,25 26 27,17
393,"In the movie "" Apollo 13 "" , Glynn Lunney was portrayed by Marc McClure .",characters,4 5,8 9
739,"In one such example , on Space Station K-7 in the original episode "" The Trouble with Tribbles "" set in 2267 , Uhura is offered a pet tribble for 10 credits .",characters,14 15 16 17,23
1886,"In 2006 Magnus Uggla recorded the song on the album "" Ett bedårande barn av sin tid "" .",performer,11 12 13 14 15 16,2 3
1312,SteamWorld Dig 2 is a 2D platform action - adventure video game developed and published by Image & Form .,publisher,0 1,16 17 18
1293,"It was followed in 1935 by Julien Duvivier 's "" La Bandera "" , also scripted by Charles Spaak , though actually about the Spanish Foreign Legion .",director,10 11,6 7
1072,"At the Bridge School Benefit on October 25 , Pearl Jam were joined onstage with Soundgarden frontman Chris Cornell and played the Temple of the Dog song "" Hunger Strike "" .",performer,28 29,22 23 24 25
2748,""" Songs by George Harrison 2 "" was published on 22 June 1992 , with the Genesis Publications catalogue number SGH 778.Madinger & Easter , p. 638 .",publisher,1 2 3 4,16 17
1976,"There is one cover on the album , "" Carousel "" , a song originally written and performed by Vanessa Carlton on her album "" Rabbits on the Run "" ( 2011 ) .",performer,25 26 27 28,19 20
142,"She did return to the screen in 1956 , however , to appear in Mikio Naruse 's "" Flowing "" .",director,18,14 15
2420,"Target released a novelisation of "" Mission to Magnus "" in 1990 written by Phillip Martin .",publisher,6 7 8,0
1803,"In April 2014 , Snapshot Games launched a Kickstarter to crowdfund the development of its first video game , "" Chaos Reborn "" .",publisher,20 21,4 5
2224,"The video showed footage of two characters , Sonic the Hedgehog and Shadow the Hedgehog .",characters,8 9 10,12 13 14
1004,"In June 2016 , DC Comics relaunched its entire line of comic books series with DC Rebirth including both the "" Action Comics "" and "" Superman "" series .",publisher,21 22,4 5
1876,""" The Secret of Sherlock Holmes "" by Jeremy Paul was staged in London 's West End in 1988 , with Jeremy Brett and Edward Hardwicke reprising their television roles as Holmes and Watson .",performer,4 5,21 22
1847,""" Obama Basedgod "" is described as Lil B 's "" most straightforward "" rap - rap "" "" release since 2011 's "" I 'm Gay ( I 'm Happy ) "" . """,performer,1 2,7 8
2676,"Still under exclusive contract , ADK was only allowed to develop two Sega Saturn ports : "" World Heroes Perfect "" and "" Twinkle Star Sprites "" , both published by SNK .",publisher,17 18 19,31
1582,"MF DOOM ) released "" Take Me to Your Leader "" , a hip - hop album featuring guests from the group Monsta Island Czars , another Godzilla - themed hip hop group .",performer,5 6 7 8 9,0 1
538,"The second segment references the plot of the film "" Inglourious Basterds "" in that Marge blows up a movie theater with Adolf Hitler and other Nazis in it .",characters,10 11,22 23
1566,"Ellington also wrote the lyrics to Hillis Walters ' popular song , "" Pass Me By "" ( 1946 ) , which was recorded by Lena Horne , Carmen McRae and Peggy Lee .",performer,13 14 15,31 32
1695,"The book draws upon the dismemberment of Dionysus as well as ancient Greek rituals and practices . The Journal of Modern Greek Studies , Volume 19 , 2001/ Johns Hopkins University Press .",publisher,18 19 20 21 22,28 29 30 31
928,"One of Nicholson 's favorite movies is "" Living in Oblivion "" , by director Tom DiCillo .",director,8 9 10,15 16
1855,"In 2011 , he was named the editor of the "" Encyclopedia of American Studies "" online ( published by Johns Hopkins University Press ) .",publisher,11 12 13 14,20 21 22 23
2652,""" Where Them Girls At "" featuring Flo Rida and Nicki Minaj , the first single off the album , was released worldwide on 2 May 2011 .",performer,1 2 3 4,10 11
448,"Macaria , in the "" Heracleidae "" states that "" for a woman , silence and self control are best . """,characters,5,0
